respondent_id,collector_id,start_date,end_date,informed_consent,experimental_situation,assess_blame,assess_fine,assess_active_role,age,gender
12798275260,406985136,2021-07-06T17:44:02Z,2021-07-06T17:45:29Z,TRUE,agentive,5,1500,7,36,Male
12798274058,406985136,2021-07-06T17:43:07Z,2021-07-06T17:45:37Z,TRUE,agentive,3,0,7,28,Male
12798272604,406985136,2021-07-06T17:43:11Z,2021-07-06T17:44:22Z,TRUE,nonagentive,1,0,2,30,Female
12798271002,406985136,2021-07-06T17:42:22Z,2021-07-06T17:43:49Z,TRUE,agentive,5,900,3,24,Male
12798268833,406985136,2021-07-06T17:41:52Z,2021-07-06T17:42:38Z,TRUE,nonagentive,4,500,3,38,Female
12798268800,406985136,2021-07-06T17:41:24Z,2021-07-06T17:44:17Z,TRUE,nonagentive,1,0,2,54,Male
12798267803,406985136,2021-07-06T17:41:24Z,2021-07-06T17:42:35Z,TRUE,nonagentive,1,200,2,28,Female
12798266766,406985136,2021-07-06T17:41:00Z,2021-07-06T17:43:06Z,TRUE,nonagentive,2,0,2,48,Male
12798266416,406985136,2021-07-06T17:40:14Z,2021-07-06T17:47:03Z,TRUE,agentive,7,1500,7,32,Male
12798265883,406985136,2021-07-06T17:40:50Z,2021-07-06T17:42:00Z,TRUE,nonagentive,3,NA,3,27,Male
12798265862,406985136,2021-07-06T17:40:54Z,2021-07-06T17:41:45Z,TRUE,nonagentive,3,0,2,34,Male
12798262551,406985136,2021-07-06T17:39:36Z,2021-07-06T17:40:34Z,TRUE,agentive,7,1500,7,31,Male
12798261554,406985136,2021-07-06T17:39:16Z,2021-07-06T17:40:28Z,TRUE,nonagentive,2,0,2,26,Female
12798260968,406985136,2021-07-06T17:38:58Z,2021-07-06T17:39:58Z,TRUE,nonagentive,5,700,5,28,Female
12798256820,406985136,2021-07-06T17:37:29Z,2021-07-06T17:38:27Z,TRUE,agentive,7,1500,7,28,Female
12798255821,406985136,2021-07-06T17:37:08Z,2021-07-06T17:38:51Z,TRUE,agentive,5,1000,6,29,Male
12798254516,406985136,2021-07-06T17:36:37Z,2021-07-06T17:39:08Z,TRUE,agentive,1,0,4,65,Male
12798254348,406985136,2021-07-06T17:36:35Z,2021-07-06T17:37:51Z,TRUE,nonagentive,3,200,3,21,Female
12798254195,406985136,2021-07-06T17:36:29Z,2021-07-06T17:37:46Z,TRUE,agentive,2,300,2,24,Female
12798254088,406985136,2021-07-06T17:36:20Z,2021-07-06T17:37:46Z,TRUE,agentive,5,1200,6,24,Male
12798253891,406985136,2021-07-06T17:36:17Z,2021-07-06T17:47:24Z,TRUE,agentive,7,100,7,56,Female
12798253329,406985136,2021-07-06T17:36:21Z,2021-07-06T17:37:33Z,TRUE,nonagentive,5,750,5,43,Male
12798252502,406985136,2021-07-06T17:35:55Z,2021-07-06T17:36:46Z,TRUE,nonagentive,5,1500,5,25,Male
12798251213,406985136,2021-07-06T17:35:36Z,2021-07-06T17:36:45Z,TRUE,nonagentive,3,0,5,35,Male
12798250804,406985136,2021-07-06T17:35:26Z,2021-07-06T17:36:45Z,TRUE,nonagentive,2,150,7,26,Female
12798250459,406985136,2021-07-06T17:35:12Z,2021-07-06T17:39:06Z,TRUE,agentive,2,0,5,25,Male
12798249334,406985136,2021-07-06T17:34:56Z,2021-07-06T17:35:52Z,TRUE,agentive,6,1200,7,23,Female
12798249048,406985136,2021-07-06T17:34:51Z,2021-07-06T17:36:10Z,TRUE,nonagentive,5,1500,7,26,Male
12798248763,406985136,2021-07-06T17:34:27Z,2021-07-06T17:35:24Z,TRUE,nonagentive,2,0,2,28,Male
12798243399,406985136,2021-07-06T17:32:32Z,2021-07-06T17:34:30Z,TRUE,agentive,7,1500,7,28,Male
12798242982,406985136,2021-07-06T17:28:41Z,2021-07-06T17:35:46Z,TRUE,nonagentive,3,500,5,52,Female
12798240347,406985136,2021-07-06T17:31:43Z,2021-07-06T17:32:37Z,TRUE,nonagentive,5,1250,6,23,Other
12798239982,406985136,2021-07-06T17:30:26Z,2021-07-06T17:33:19Z,TRUE,agentive,4,750,4,NA,NA
12798237467,406985136,2021-07-06T17:30:36Z,2021-07-06T17:31:50Z,TRUE,nonagentive,1,0,1,50,Female
12798236546,406985136,2021-07-06T17:30:16Z,2021-07-06T17:31:09Z,TRUE,nonagentive,4,1500,4,20,Male
12798232996,406985136,2021-07-06T17:28:32Z,2021-07-06T17:30:35Z,TRUE,nonagentive,3,750,5,54,Male
12798232218,406985136,2021-07-06T17:28:46Z,2021-07-06T17:30:57Z,TRUE,nonagentive,3,500,6,22,Male
12798232075,406985136,2021-07-06T17:28:50Z,2021-07-06T17:29:57Z,TRUE,nonagentive,4,0,5,35,Male
12798229099,406985136,2021-07-06T17:27:42Z,2021-07-06T17:29:18Z,TRUE,agentive,5,0,6,24,Male
12798227067,406985136,2021-07-06T17:26:23Z,2021-07-06T17:28:46Z,TRUE,agentive,6,750,6,54,Female
12798225241,406985136,2021-07-06T17:26:17Z,2021-07-06T17:27:50Z,TRUE,agentive,4,750,5,18,Female
12798225081,406985136,2021-07-06T17:26:28Z,2021-07-06T17:27:24Z,TRUE,agentive,3,100,3,32,Female
12798223794,406985136,2021-07-06T17:25:45Z,2021-07-06T17:27:19Z,TRUE,agentive,7,1500,7,32,Female
12798219799,406985136,2021-07-06T17:24:34Z,2021-07-06T17:26:41Z,TRUE,agentive,5,0,5,33,Female
12798217203,406985136,2021-07-06T17:23:21Z,2021-07-06T17:27:04Z,TRUE,nonagentive,7,500,5,22,Male
12798216635,406985136,2021-07-06T17:23:30Z,2021-07-06T17:26:06Z,TRUE,agentive,5,750,5,30,Male
12798216352,406985136,2021-07-06T17:23:31Z,2021-07-06T17:24:48Z,TRUE,nonagentive,2,500,3,31,Male
12798215938,406985136,2021-07-06T17:23:22Z,2021-07-06T17:24:29Z,TRUE,nonagentive,6,1500,7,31,Female
12798215217,406985136,2021-07-06T17:23:03Z,2021-07-06T17:24:13Z,TRUE,agentive,5,500,7,31,Other
12798214530,406985136,2021-07-06T17:22:51Z,2021-07-06T17:24:43Z,TRUE,agentive,5,1200,6,62,Female
12798214309,406985136,2021-07-06T17:22:46Z,2021-07-06T17:23:39Z,TRUE,nonagentive,7,1500,7,30,Female
12798213543,406985136,2021-07-06T17:22:25Z,2021-07-06T17:23:42Z,TRUE,agentive,5,700,5,33,Female
12798211073,406985136,2021-07-06T17:21:43Z,2021-07-06T17:22:41Z,TRUE,agentive,5,750,7,21,Female
12798206950,406985136,2021-07-06T17:20:07Z,2021-07-06T17:21:25Z,TRUE,nonagentive,4,500,5,18,Male
12798204069,406985136,2021-07-06T17:18:09Z,2021-07-06T17:23:48Z,TRUE,agentive,5,1500,5,32,Male
12798202859,406985136,2021-07-06T17:18:58Z,2021-07-06T17:19:56Z,TRUE,nonagentive,5,700,5,31,Male
